Date,Open,High,Low,Close,Adj Close,Volume
2020-10-20,0.122898,0.137104,0.121593,0.126855,0.126855,1306316
2020-10-21,0.126859,0.154491,0.126490,0.152945,0.152945,1824856
2020-10-22,0.152957,0.172683,0.148066,0.160679,0.160679,1455815
2020-10-23,0.160674,0.162775,0.149850,0.160507,0.160507,922510
2020-10-24,0.160548,0.169249,0.157583,0.162325,0.162325,594813
2020-10-25,0.162277,0.175354,0.161318,0.170707,0.170707,623332
2020-10-26,0.170783,0.172128,0.150251,0.160056,0.160056,1020687
2020-10-27,0.160084,0.164103,0.154324,0.155113,0.155113,501904
2020-10-28,0.155286,0.167260,0.141244,0.146009,0.146009,717794
2020-10-29,0.146005,0.172367,0.143887,0.159716,0.159716,941831
2020-10-30,0.159596,0.161219,0.142476,0.152998,0.152998,3474
2020-10-31,0.152791,0.164402,0.152457,0.154871,0.154871,175172
2020-11-01,0.154896,0.156946,0.148480,0.150156,0.150156,282887
2020-11-02,0.150366,0.154371,0.142162,0.151309,0.151309,250073
2020-11-03,0.151216,0.152355,0.140629,0.145909,0.145909,352149
2020-11-04,0.146247,0.146587,0.131731,0.137853,0.137853,528993
2020-11-05,0.137920,0.140626,0.127560,0.140000,0.140000,499183
2020-11-06,0.139998,0.165928,0.137722,0.153523,0.153523,623942
2020-11-07,0.153527,0.166052,0.139298,0.149064,0.149064,831096
2020-11-08,0.149066,0.156436,0.145032,0.151101,0.151101,211054
2020-11-09,0.151108,0.153487,0.142476,0.146245,0.146245,18497
2020-11-10,0.146238,0.157125,0.144505,0.151682,0.151682,778502
2020-11-11,0.151699,0.156419,0.145828,0.148424,0.148424,308927
2020-11-12,0.148505,0.150385,0.138352,0.144395,0.144395,28827
2020-11-13,0.144394,0.151552,0.143553,0.145704,0.145704,163152
2020-11-14,0.145755,0.147771,0.138559,0.141846,0.141846,209196
2020-11-15,0.141782,0.144632,0.135333,0.141694,0.141694,3708
2020-11-16,0.141694,0.143469,0.137154,0.142107,0.142107,4307
2020-11-17,0.139884,0.142376,0.130853,0.139622,0.139622,680101
2020-11-18,0.139628,0.144204,0.130327,0.137686,0.137686,355906
2020-11-19,0.137699,0.138865,0.128099,0.134061,0.134061,493803
2020-11-20,0.134057,0.139925,0.129899,0.131882,0.131882,361591
2020-11-21,0.131877,0.152017,0.128448,0.142624,0.142624,856835
2020-11-22,0.142627,0.152980,0.137756,0.150791,0.150791,767860
2020-11-23,0.150780,0.153826,0.143663,0.150474,0.150474,657741
2020-11-24,0.150613,0.159465,0.142332,0.151549,0.151549,809512
2020-11-25,0.152380,0.191776,0.147438,0.170517,0.170517,1167733
2020-11-26,0.170313,0.170901,0.134238,0.151649,0.151649,959476
2020-11-27,0.151869,0.160084,0.148523,0.156269,0.156269,285253
2020-11-28,0.156125,0.161942,0.151644,0.161316,0.161316,262771
2020-11-29,0.161310,0.161353,0.150305,0.152328,0.152328,208115
2020-11-30,0.152917,0.161589,0.149716,0.158065,0.158065,430958
2020-12-01,0.159958,0.162511,0.150311,0.158169,0.158169,265386
2020-12-02,0.158153,0.169531,0.154814,0.165426,0.165426,286290
2020-12-03,0.165076,0.167427,0.158530,0.164027,0.164027,375152
2020-12-04,0.164007,0.164073,0.147592,0.149967,0.149967,534477
2020-12-05,0.149949,0.157611,0.148311,0.154700,0.154700,149346
2020-12-06,0.154708,0.175899,0.149165,0.169472,0.169472,968329
2020-12-07,0.169024,0.176648,0.165274,0.174138,0.174138,815335
2020-12-08,0.175334,0.176683,0.157662,0.160454,0.160454,502637
2020-12-09,0.160466,0.164647,0.152970,0.163584,0.163584,260372
2020-12-10,0.163588,0.169632,0.155821,0.156154,0.156154,400843
2020-12-11,0.156163,0.159985,0.145627,0.155486,0.155486,294573
2020-12-12,0.155499,0.162762,0.155367,0.161678,0.161678,22114
2020-12-13,0.161703,0.165471,0.155275,0.157365,0.157365,307472
2020-12-14,0.157378,0.168246,0.156285,0.165823,0.165823,237598
2020-12-15,0.165983,0.184880,0.162434,0.174556,0.174556,745503
2020-12-16,0.174696,0.205876,0.174203,0.194353,0.194353,1493202
2020-12-17,0.194206,0.200850,0.169830,0.186054,0.186054,1660130
2020-12-18,0.185713,0.186431,0.160824,0.177109,0.177109,1311635
2020-12-19,0.176414,0.177320,0.149160,0.155771,0.155771,1367793
2020-12-20,0.155769,0.156748,0.145117,0.150283,0.150283,884004
2020-12-21,0.150316,0.158125,0.136458,0.151432,0.151432,443120
2020-12-22,0.151019,0.151019,0.133927,0.138041,0.138041,793918
2020-12-23,0.138642,0.152642,0.126026,0.138096,0.138096,1247492
2020-12-24,0.136443,0.162024,0.130410,0.148059,0.148059,1086894
2020-12-25,0.147457,0.154324,0.143006,0.144560,0.144560,401699
2020-12-26,0.144509,0.159187,0.143025,0.145950,0.145950,530590
2020-12-27,0.145993,0.149836,0.138551,0.143670,0.143670,434462
2020-12-28,0.143501,0.167693,0.143442,0.153880,0.153880,602148
2020-12-29,0.144959,0.155351,0.139872,0.141693,0.141693,529765
